osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
21638845,41.3700925,2.187743,3,-0.0004695768575619347,84975.75030207634,84987.56393504143,,,POINT (2.187743 41.3700925)
21638855,41.3749826,2.1888306,3,-0.0004995850873008355,84975.75030207634,84987.56393504143,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,-0.0002873596620163436,84975.75030207634,84987.56393504143,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,8.272390715372535e-05,84975.75030207634,84987.56393504143,,,POINT (2.1880402 41.3780115)
21638865,41.3767732,2.1906313,1,-0.00015078291741419292,84975.75030207634,84987.56393504143,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,-0.0005032448287729358,84975.75030207634,84987.56393504143,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,-0.0005220569042025695,84975.75030207634,84987.56393504143,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,-0.0005183287539077268,84975.75030207634,84987.56393504143,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,-0.00046915853047952897,84975.75030207634,84987.56393504143,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,-0.00040789893662803513,84975.75030207634,84987.56393504143,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,-0.0005044544776438844,84975.75030207634,84987.56393504143,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,-0.00040220724443799894,84975.75030207634,84987.56393504143,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,-0.0003852707740820673,84975.75030207634,84987.56393504143,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,0.0031590437682071154,84975.75030207634,84987.56393504143,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,0.0012388884219196375,84975.75030207634,84987.56393504143,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,0.00012306596792060326,84975.75030207634,84987.56393504143,,,POINT (2.1774317 41.3755381)
21638922,41.3757129,2.1773686,3,-0.0003240651661292516,84975.75030207634,84987.56393504143,,,POINT (2.1773686 41.3757129)
26057050,41.3749125,2.148548,3,-0.00014782401679513992,84975.75030207634,84987.56393504143,,,POINT (2.148548 41.3749125)
26057076,41.3733143,2.1762752,3,-0.0003394143587418725,84975.75030207634,84987.56393504143,,,POINT (2.1762752 41.3733143)
26057079,41.3736617,2.1768881,3,0.00022981330961624837,84975.75030207634,84987.56393504143,,,POINT (2.1768881 41.3736617)
26057116,41.3857494,2.1701343,4,0.004169497424104878,84975.75030207634,84987.56393504143,,,POINT (2.1701343 41.3857494)
