osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.005848470118031751,43098.69777345657,43106.501968860626,,,POINT (-46.6382561 -23.55821)
597270,-23.5685427,-46.6078851,4,-0.0009476645113003602,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,3,0.006562900020001665,43098.69777345657,43106.501968860626,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,-0.0004740101054604636,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,-0.0012923548050029381,43098.69777345657,43106.501968860626,,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,3,-0.0003062817732137424,43098.69777345657,43106.501968860626,motorway_junction,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,3,-0.0011169448050146597,43098.69777345657,43106.501968860626,,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,4,-0.00126267550209037,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,4,-0.0015003750937734508,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,4,-0.0013651959731769755,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014613410469982682,43098.69777345657,43106.501968860626,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014905115333956008,43098.69777345657,43106.501968860626,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.0014696603594978835,43098.69777345657,43106.501968860626,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0014469609536714619,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,-0.0014411773499830248,43098.69777345657,43106.501968860626,traffic_signals,,POINT (-46.6552234 -23.5477074)
25778137,-23.5232174,-46.6126896,3,-0.0013745734212940878,43098.69777345657,43106.501968860626,,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,3,-0.0013843177267015589,43098.69777345657,43106.501968860626,,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,3,-0.0013802796839958035,43098.69777345657,43106.501968860626,,,POINT (-46.6101309 -23.5240816)
