osmid,y,x,street_count,vul,time-vul,time-all,highway,geometry
34557099,-15.7993489,-47.8618433,3,-0.0019038094908497723,39824.56059670448,39826.375655174255,,POINT (-47.8618433 -15.7993489)
34557103,-15.7997956,-47.867146,3,-0.001888303137880057,39824.56059670448,39826.375655174255,,POINT (-47.867146 -15.7997956)
34557141,-15.7994921,-47.868118,3,-0.0018629353441648655,39824.56059670448,39826.375655174255,,POINT (-47.868118 -15.7994921)
34557142,-15.7984356,-47.8715061,3,-0.0017961095931960849,39824.56059670448,39826.375655174255,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,-0.0017165990953205553,39824.56059670448,39826.375655174255,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,-0.000796435763095673,39824.56059670448,39826.375655174255,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,-0.0014881665401323659,39824.56059670448,39826.375655174255,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,-0.0014267245000316481,39824.56059670448,39826.375655174255,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,-0.0016044156526990934,39824.56059670448,39826.375655174255,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,-0.0017531862620850283,39824.56059670448,39826.375655174255,,POINT (-47.8708382 -15.7965472)
34565325,-15.7975912,-47.8674802,3,-0.0018091254236542696,39824.56059670448,39826.375655174255,,POINT (-47.8674802 -15.7975912)
34565328,-15.7978916,-47.8665206,3,-0.0018830326411595915,39824.56059670448,39826.375655174255,,POINT (-47.8665206 -15.7978916)
111449578,-15.7931298,-47.8896859,3,-0.0017461741558361724,39824.56059670448,39826.375655174255,,POINT (-47.8896859 -15.7931298)
111450216,-15.7869798,-47.9076957,3,0.001034273245647235,39824.56059670448,39826.375655174255,traffic_signals,POINT (-47.9076957 -15.7869798)
114103910,-15.7866876,-47.8807414,3,0.0006387367372711131,39824.56059670448,39826.375655174255,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,-0.001796485401310958,39824.56059670448,39826.375655174255,,POINT (-47.8938029 -15.8006724)
141979648,-15.8146825,-47.9138466,3,-0.0015110403825250858,39824.56059670448,39826.375655174255,,POINT (-47.9138466 -15.8146825)
141979701,-15.8164869,-47.9119763,3,-0.001252093417445653,39824.56059670448,39826.375655174255,,POINT (-47.9119763 -15.8164869)
141979726,-15.8146519,-47.9136207,3,-0.0014384731342942,39824.56059670448,39826.375655174255,,POINT (-47.9136207 -15.8146519)
141979746,-15.8144998,-47.9136303,3,-0.0009850091450383073,39824.56059670448,39826.375655174255,,POINT (-47.9136303 -15.8144998)
141979767,-15.8144442,-47.9137546,3,-0.0012307364056691962,39824.56059670448,39826.375655174255,,POINT (-47.9137546 -15.8144442)
141979964,-15.8141117,-47.9142123,4,-0.0016852564219573113,39824.56059670448,39826.375655174255,,POINT (-47.9142123 -15.8141117)
141979986,-15.8145641,-47.9138891,3,-0.0017071823498242737,39824.56059670448,39826.375655174255,,POINT (-47.9138891 -15.8145641)
141979994,-15.8147215,-47.9137374,3,-0.0014748052780834062,39824.56059670448,39826.375655174255,,POINT (-47.9137374 -15.8147215)
141980252,-15.8166664,-47.9122436,4,-0.001774891293388109,39824.56059670448,39826.375655174255,,POINT (-47.9122436 -15.8166664)
141980289,-15.8112594,-47.9091526,3,-0.001750106098656254,39824.56059670448,39826.375655174255,,POINT (-47.9091526 -15.8112594)
141980321,-15.8140215,-47.9140829,4,-0.00015712714327587772,39824.56059670448,39826.375655174255,,POINT (-47.9140829 -15.8140215)
141980659,-15.8111215,-47.9089511,3,-0.0016765679701352691,39824.56059670448,39826.375655174255,,POINT (-47.9089511 -15.8111215)
141980694,-15.8080929,-47.9048964,3,-0.00169385758472538,39824.56059670448,39826.375655174255,,POINT (-47.9048964 -15.8080929)
141980806,-15.8103748,-47.9024619,3,-0.0012658303822612462,39824.56059670448,39826.375655174255,,POINT (-47.9024619 -15.8103748)
141980809,-15.8088752,-47.9007588,3,-0.001662153467263324,39824.56059670448,39826.375655174255,,POINT (-47.9007588 -15.8088752)
142059262,-15.81932,-47.8792927,3,-0.0018407447674079638,39824.56059670448,39826.375655174255,,POINT (-47.8792927 -15.81932)
142059275,-15.8189856,-47.8794737,3,-0.001617493342238303,39824.56059670448,39826.375655174255,,POINT (-47.8794737 -15.8189856)
142087740,-15.8159281,-47.889356,3,-0.0019054045672251814,39824.56059670448,39826.375655174255,,POINT (-47.889356 -15.8159281)
142087751,-15.8112984,-47.8850036,4,-0.0002442824890880123,39824.56059670448,39826.375655174255,,POINT (-47.8850036 -15.8112984)
142087820,-15.8087062,-47.8827332,3,-0.001722971695486802,39824.56059670448,39826.375655174255,,POINT (-47.8827332 -15.8087062)
142087838,-15.8056951,-47.8801118,3,-0.001475462283262237,39824.56059670448,39826.375655174255,,POINT (-47.8801118 -15.8056951)
142088003,-15.8097618,-47.8839493,4,-0.0009454485898202924,39824.56059670448,39826.375655174255,,POINT (-47.8839493 -15.8097618)
142089097,-15.812542,-47.8816607,3,-0.0012269156360641463,39824.56059670448,39826.375655174255,,POINT (-47.8816607 -15.812542)
142089214,-15.8112789,-47.8820894,3,-0.001218908096468635,39824.56059670448,39826.375655174255,,POINT (-47.8820894 -15.8112789)
142089370,-15.8106391,-47.8832183,3,-6.215983426814495e-05,39824.56059670448,39826.375655174255,,POINT (-47.8832183 -15.8106391)
142089422,-15.8093837,-47.8835931,3,-0.0014373589474917182,39824.56059670448,39826.375655174255,,POINT (-47.8835931 -15.8093837)
