osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.00635357716722447,18120.41246676445,18130.76870560646,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.006080435142792161,18120.41246676445,18130.76870560646,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,-0.00014831631986369072,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944550,-23.5372021,-46.6535506,4,-0.001339606836485898,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014428424841669892,18120.41246676445,18130.76870560646,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014855108709161927,18120.41246676445,18130.76870560646,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.0014599256958249458,18120.41246676445,18130.76870560646,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0014233227125697843,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,-0.0014147218332162235,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6552234 -23.5477074)
25870836,-23.5635176,-46.6113811,4,-0.0005512301936529497,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,0.0013613743629132485,18120.41246676445,18130.76870560646,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,-0.0008491618068331765,18120.41246676445,18130.76870560646,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0004754344578084934,18120.41246676445,18130.76870560646,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,-0.0009324652445708418,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,-0.0002803797525452178,18120.41246676445,18130.76870560646,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.007512941385031915,18120.41246676445,18130.76870560646,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.003284135012930072,18120.41246676445,18130.76870560646,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0027236769389802026,18120.41246676445,18130.76870560646,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,-9.425349933367805e-06,18120.41246676445,18130.76870560646,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0007960512778918676,18120.41246676445,18130.76870560646,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,-0.00026166761765783003,18120.41246676445,18130.76870560646,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,-0.001281889218349103,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,-0.0011846624627559748,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,-0.001394865572150704,18120.41246676445,18130.76870560646,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,-0.0014581506964515209,18120.41246676445,18130.76870560646,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,-0.0005216580058141274,18120.41246676445,18130.76870560646,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,-0.00011417181919078499,18120.41246676445,18130.76870560646,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,-0.0004477581187899703,18120.41246676445,18130.76870560646,,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,3,-0.0014531398615728768,18120.41246676445,18130.76870560646,,,POINT (-46.6312713 -23.5287456)
25927015,-23.5266085,-46.6313508,3,-0.0013333336765336782,18120.41246676445,18130.76870560646,,,POINT (-46.6313508 -23.5266085)
25927018,-23.5264105,-46.6310338,3,-0.0008738713178093148,18120.41246676445,18130.76870560646,,,POINT (-46.6310338 -23.5264105)
25927315,-23.5275121,-46.6314845,3,-0.0010937817918176404,18120.41246676445,18130.76870560646,,,POINT (-46.6314845 -23.5275121)
25927318,-23.5279337,-46.6312772,3,-0.0008848008738040543,18120.41246676445,18130.76870560646,,,POINT (-46.6312772 -23.5279337)
25928248,-23.530254,-46.6317405,3,-0.0014181731669835813,18120.41246676445,18130.76870560646,,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,3,-0.0014012992159318416,18120.41246676445,18130.76870560646,,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,3,-0.001348082474868133,18120.41246676445,18130.76870560646,,,POINT (-46.6337902 -23.5352466)
