osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
21638845,41.3700925,2.187743,3,-0.00047273507660428314,109020.57671451569,109024.28378009796,,,POINT (2.187743 41.3700925)
21638855,41.3749826,2.1888306,3,-0.0005013184210232944,109020.57671451569,109024.28378009796,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,-0.00030097368739290107,109020.57671451569,109024.28378009796,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,4.748255067565498e-05,109020.57671451569,109024.28378009796,,,POINT (2.1880402 41.3780115)
21638865,41.3767732,2.1906313,1,-0.000167891226757201,109020.57671451569,109024.28378009796,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,-0.0005043530223419792,109020.57671451569,109024.28378009796,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,-0.0005220569042025674,109020.57671451569,109024.28378009796,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,-0.0005186163198245642,109020.57671451569,109024.28378009796,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,-0.0004727333507218097,109020.57671451569,109024.28378009796,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,-0.0004160390390274064,109020.57671451569,109024.28378009796,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,-0.0005058122174193205,109020.57671451569,109024.28378009796,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,-0.0004112218930445071,109020.57671451569,109024.28378009796,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,-0.0003922334173743269,109020.57671451569,109024.28378009796,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,0.0029186487588699563,109020.57671451569,109024.28378009796,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,0.001118827864771766,109020.57671451569,109024.28378009796,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,8.060929995147962e-05,109020.57671451569,109024.28378009796,,,POINT (2.1774317 41.3755381)
21638922,41.3757129,2.1773686,3,-0.000337272450885459,109020.57671451569,109024.28378009796,,,POINT (2.1773686 41.3757129)
26057050,41.3749125,2.148548,3,-0.00014762953944293694,109020.57671451569,109024.28378009796,,,POINT (2.148548 41.3749125)
26057076,41.3733143,2.1762752,3,-0.00035216629625842665,109020.57671451569,109024.28378009796,,,POINT (2.1762752 41.3733143)
26057079,41.3736617,2.1768881,3,0.0001797859157466991,109020.57671451569,109024.28378009796,,,POINT (2.1768881 41.3736617)
