osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
21638859,41.3763469,2.1886934,3,0.0005424831651689411,10584.273467540741,10613.133286476135,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,-0.0012877770662444654,10584.273467540741,10613.133286476135,,,POINT (2.1880402 41.3780115)
21638867,41.3782089,2.1889331,4,-0.0017230598984208515,10584.273467540741,10613.133286476135,,,POINT (2.1889331 41.3782089)
21638882,41.3805427,2.1878203,4,-0.0017013804015943309,10584.273467540741,10613.133286476135,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,-0.0014284254556011756,10584.273467540741,10613.133286476135,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,-0.0015135134130975874,10584.273467540741,10613.133286476135,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,0.007952421067282852,10584.273467540741,10613.133286476135,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,0.0031142540625486914,10584.273467540741,10613.133286476135,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,-0.00020541102175834305,10584.273467540741,10613.133286476135,,,POINT (2.1774317 41.3755381)
21638922,41.3757129,2.1773686,3,-0.0014128480620665346,10584.273467540741,10613.133286476135,,,POINT (2.1773686 41.3757129)
26057050,41.3749125,2.148548,3,-0.001502007411616852,10584.273467540741,10613.133286476135,,,POINT (2.148548 41.3749125)
26057076,41.3733143,2.1762752,3,-0.0013381604935290396,10584.273467540741,10613.133286476135,,,POINT (2.1762752 41.3733143)
26057079,41.3736617,2.1768881,3,0.00016115547166765075,10584.273467540741,10613.133286476135,,,POINT (2.1768881 41.3736617)
26057116,41.3857494,2.1701343,4,0.00820712348221685,10584.273467540741,10613.133286476135,,,POINT (2.1701343 41.3857494)
26057125,41.3873921,2.1685651,4,-0.0009192341259198953,10584.273467540741,10613.133286476135,,,POINT (2.1685651 41.3873921)
26057131,41.3888075,2.1723496,5,0.0005084047416827497,10584.273467540741,10613.133286476135,,,POINT (2.1723496 41.3888075)
26057304,41.3865594,2.1662922,4,-0.0013110595228061626,10584.273467540741,10613.133286476135,,,POINT (2.1662922 41.3865594)
26057312,41.389593,2.16837,4,-0.0010200943458312014,10584.273467540741,10613.133286476135,,,POINT (2.16837 41.389593)
26057341,41.3893033,2.1736889,4,-0.0009870290531999908,10584.273467540741,10613.133286476135,,,POINT (2.1736889 41.3893033)
26057342,41.3899292,2.1753258,4,-0.0006986920175213563,10584.273467540741,10613.133286476135,,,POINT (2.1753258 41.3899292)
26057345,41.3892283,2.1762283,3,-0.0016830465954038195,10584.273467540741,10613.133286476135,,,POINT (2.1762283 41.3892283)
26057346,41.3889575,2.1758863,3,-0.0016506405826381982,10584.273467540741,10613.133286476135,,,POINT (2.1758863 41.3889575)
26057347,41.3889558,2.1737424,3,-0.0017467248908296725,10584.273467540741,10613.133286476135,,,POINT (2.1737424 41.3889558)
26057388,41.3838266,2.1608564,4,-0.0001726710054583434,10584.273467540741,10613.133286476135,,,POINT (2.1608564 41.3838266)
26057389,41.3846778,2.1619691,4,-0.0006878646828553586,10584.273467540741,10613.133286476135,,,POINT (2.1619691 41.3846778)
26198828,41.3812781,2.1574616,3,-0.0007943239917536847,10584.273467540741,10613.133286476135,,,POINT (2.1574616 41.3812781)
26198831,41.3804334,2.1563247,4,-0.00031752981356325316,10584.273467540741,10613.133286476135,,,POINT (2.1563247 41.3804334)
26198833,41.3795841,2.1551756,4,-0.0006453249286660451,10584.273467540741,10613.133286476135,,,POINT (2.1551756 41.3795841)
