osmid,y,x,street_count,vul,time-vul,time-all,highway,geometry
34557099,-15.7993489,-47.8618433,3,-0.001902386240973425,34283.61072611809,34288.51849937439,,POINT (-47.8618433 -15.7993489)
34557103,-15.7997956,-47.867146,3,-0.0018852902805645986,34283.61072611809,34288.51849937439,,POINT (-47.867146 -15.7997956)
34557141,-15.7994921,-47.868118,3,-0.0018582962223174409,34283.61072611809,34288.51849937439,,POINT (-47.868118 -15.7994921)
34557142,-15.7984356,-47.8715061,3,-0.0017867616891177357,34283.61072611809,34288.51849937439,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,-0.0017015356385183162,34283.61072611809,34288.51849937439,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,-0.0007680460796427728,34283.61072611809,34288.51849937439,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,-0.0014870654545592157,34283.61072611809,34288.51849937439,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,-0.0013990180696362652,34283.61072611809,34288.51849937439,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,-0.0015852713116390712,34283.61072611809,34288.51849937439,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,-0.001742965299959338,34283.61072611809,34288.51849937439,,POINT (-47.8708382 -15.7965472)
34565325,-15.7975912,-47.8674802,3,-0.001801970745294163,34283.61072611809,34288.51849937439,,POINT (-47.8674802 -15.7975912)
34565328,-15.7978916,-47.8665206,3,-0.0018804753225299899,34283.61072611809,34288.51849937439,,POINT (-47.8665206 -15.7978916)
111449578,-15.7931298,-47.8896859,3,-0.00173350982290206,34283.61072611809,34288.51849937439,,POINT (-47.8896859 -15.7931298)
111450216,-15.7869798,-47.9076957,3,0.0009010758589752706,34283.61072611809,34288.51849937439,traffic_signals,POINT (-47.9076957 -15.7869798)
114103910,-15.7866876,-47.8807414,3,0.0005056025740278225,34283.61072611809,34288.51849937439,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,-0.0017797354022600046,34283.61072611809,34288.51849937439,,POINT (-47.8938029 -15.8006724)
141979648,-15.8146825,-47.9138466,3,-0.0015499986060035335,34283.61072611809,34288.51849937439,,POINT (-47.9138466 -15.8146825)
141979701,-15.8164869,-47.9119763,3,-0.0012392206952827965,34283.61072611809,34288.51849937439,,POINT (-47.9119763 -15.8164869)
141979726,-15.8146519,-47.9136207,3,-0.0014238726690374208,34283.61072611809,34288.51849937439,,POINT (-47.9136207 -15.8146519)
141979746,-15.8144998,-47.9136303,3,-0.000944348076033588,34283.61072611809,34288.51849937439,,POINT (-47.9136303 -15.8144998)
141979767,-15.8144442,-47.9137546,3,-0.0012004270034022763,34283.61072611809,34288.51849937439,,POINT (-47.9137546 -15.8144442)
141979964,-15.8141117,-47.9142123,4,-0.0017214168069818359,34283.61072611809,34288.51849937439,,POINT (-47.9142123 -15.8141117)
141979986,-15.8145641,-47.9138891,3,-0.0016959491566717218,34283.61072611809,34288.51849937439,,POINT (-47.9138891 -15.8145641)
141979994,-15.8147215,-47.9137374,3,-0.001510757077578349,34283.61072611809,34288.51849937439,,POINT (-47.9137374 -15.8147215)
141980252,-15.8166664,-47.9122436,4,-0.0017825946433416321,34283.61072611809,34288.51849937439,,POINT (-47.9122436 -15.8166664)
141980289,-15.8112594,-47.9091526,3,-0.001738211512893222,34283.61072611809,34288.51849937439,,POINT (-47.9091526 -15.8112594)
141980321,-15.8140215,-47.9140829,4,-0.0001745492564405701,34283.61072611809,34288.51849937439,,POINT (-47.9140829 -15.8140215)
141980659,-15.8111215,-47.9089511,3,-0.0016564229972354171,34283.61072611809,34288.51849937439,,POINT (-47.9089511 -15.8111215)
141980694,-15.8080929,-47.9048964,3,-0.001679582060497457,34283.61072611809,34288.51849937439,,POINT (-47.9048964 -15.8080929)
141980806,-15.8103748,-47.9024619,3,-0.0012058715922801362,34283.61072611809,34288.51849937439,,POINT (-47.9024619 -15.8103748)
141980809,-15.8088752,-47.9007588,3,-0.0016379535323038747,34283.61072611809,34288.51849937439,,POINT (-47.9007588 -15.8088752)
142059262,-15.81932,-47.8792927,3,-0.0018186354825925402,34283.61072611809,34288.51849937439,,POINT (-47.8792927 -15.81932)
142059275,-15.8189856,-47.8794737,3,-0.0016872300359819007,34283.61072611809,34288.51849937439,,POINT (-47.8794737 -15.8189856)
142087740,-15.8159281,-47.889356,3,-0.0019040908701447596,34283.61072611809,34288.51849937439,,POINT (-47.889356 -15.8159281)
142087751,-15.8112984,-47.8850036,4,-0.00041631779966426187,34283.61072611809,34288.51849937439,,POINT (-47.8850036 -15.8112984)
142087820,-15.8087062,-47.8827332,3,-0.001717843633465855,34283.61072611809,34288.51849937439,,POINT (-47.8827332 -15.8087062)
142087838,-15.8056951,-47.8801118,3,-0.0013682787603265065,34283.61072611809,34288.51849937439,,POINT (-47.8801118 -15.8056951)
142088003,-15.8097618,-47.8839493,4,-0.0009568137069210333,34283.61072611809,34288.51849937439,,POINT (-47.8839493 -15.8097618)
142089097,-15.812542,-47.8816607,3,-0.0010508628819962218,34283.61072611809,34288.51849937439,,POINT (-47.8816607 -15.812542)
142089214,-15.8112789,-47.8820894,3,-0.0010622933763447186,34283.61072611809,34288.51849937439,,POINT (-47.8820894 -15.8112789)
142089370,-15.8106391,-47.8832183,3,-0.0008031512027740382,34283.61072611809,34288.51849937439,,POINT (-47.8832183 -15.8106391)
142089422,-15.8093837,-47.8835931,3,-0.0015445250329813981,34283.61072611809,34288.51849937439,,POINT (-47.8835931 -15.8093837)
142192537,-15.8015668,-47.8781658,3,-0.0006580841037700965,34283.61072611809,34288.51849937439,,POINT (-47.8781658 -15.8015668)
142192586,-15.8005693,-47.8767577,3,-0.0011714730744927214,34283.61072611809,34288.51849937439,,POINT (-47.8767577 -15.8005693)
142192643,-15.8000234,-47.8776442,3,-0.0007322092395760455,34283.61072611809,34288.51849937439,,POINT (-47.8776442 -15.8000234)
142192810,-15.8032882,-47.8791046,3,0.00019440851834284166,34283.61072611809,34288.51849937439,,POINT (-47.8791046 -15.8032882)
142192828,-15.8030908,-47.8786701,3,-0.0014600886960049943,34283.61072611809,34288.51849937439,,POINT (-47.8786701 -15.8030908)
142193469,-15.8039747,-47.8788431,3,0.0006349615511971906,34283.61072611809,34288.51849937439,,POINT (-47.8788431 -15.8039747)
142193844,-15.8030353,-47.8796565,3,-0.00132624348076323,34283.61072611809,34288.51849937439,,POINT (-47.8796565 -15.8030353)
