osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0062291976848078785,24211.07442522049,24222.611302137375,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.0067591909962116245,24211.07442522049,24222.611302137375,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,-0.00025526469282765603,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,-0.0015003750937733855,24211.07442522049,24222.611302137375,,,POINT (-46.6253024 -23.5252524)
20944550,-23.5372021,-46.6535506,4,-0.001351471396782219,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014498311869312864,24211.07442522049,24222.611302137375,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014873697281877834,24211.07442522049,24222.611302137375,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.00146362876730672,24211.07442522049,24222.611302137375,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0014311284466174158,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,-0.0014403726153965383,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6552234 -23.5477074)
25870718,-23.5646175,-46.6111634,4,-0.001492822645774844,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,4,0.00042546291434840936,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,4,0.003434820671903302,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,-0.00023824804574827625,24211.07442522049,24222.611302137375,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,-0.0009986562172451475,24211.07442522049,24222.611302137375,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0022215988474540826,24211.07442522049,24222.611302137375,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,-0.0009210131729839889,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,-0.0003325209883284718,24211.07442522049,24222.611302137375,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.007607771365226872,24211.07442522049,24222.611302137375,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.001390699759865876,24211.07442522049,24222.611302137375,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.00101949303590422,24211.07442522049,24222.611302137375,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,-0.0006408676902888948,24211.07442522049,24222.611302137375,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0005089011810570081,24211.07442522049,24222.611302137375,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,-0.0008570763515979664,24211.07442522049,24222.611302137375,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,-0.00130737672555488,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,-0.0012031598429414936,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,-0.0014036457168930148,24211.07442522049,24222.611302137375,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,-0.0014619547480158649,24211.07442522049,24222.611302137375,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,-0.0008736186939882946,24211.07442522049,24222.611302137375,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,-0.0005944867257411953,24211.07442522049,24222.611302137375,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,-0.0005688865372195139,24211.07442522049,24222.611302137375,,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,3,-0.0014536267654957442,24211.07442522049,24222.611302137375,,,POINT (-46.6312713 -23.5287456)
25927014,-23.5254031,-46.6312275,3,-0.001389126715316994,24211.07442522049,24222.611302137375,,,POINT (-46.6312275 -23.5254031)
25927015,-23.5266085,-46.6313508,3,-0.0013375937931742223,24211.07442522049,24222.611302137375,,,POINT (-46.6313508 -23.5266085)
25927018,-23.5264105,-46.6310338,3,-7.54479351571813e-05,24211.07442522049,24222.611302137375,,,POINT (-46.6310338 -23.5264105)
25927315,-23.5275121,-46.6314845,3,-0.0010958553420057856,24211.07442522049,24222.611302137375,,,POINT (-46.6314845 -23.5275121)
25927318,-23.5279337,-46.6312772,3,5.100326209839911e-07,24211.07442522049,24222.611302137375,,,POINT (-46.6312772 -23.5279337)
25928248,-23.530254,-46.6317405,3,-0.0014273647282128123,24211.07442522049,24222.611302137375,,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,3,-0.001410479339391244,24211.07442522049,24222.611302137375,,,POINT (-46.6330324 -23.534495)
