osmid,y,x,highway,street_count,vul,time-vul,time-all,ref,geometry
42421877,40.7328569,-73.9959291,traffic_signals,4,-0.0022994553451482114,2106.5288321971893,2112.467015504837,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,traffic_signals,4,-0.0020249137513836733,2106.5288321971893,2112.467015504837,,POINT (-73.9991816 40.7341463)
42422258,40.748197,-74.00742,traffic_signals,3,-0.002638794651206342,2106.5288321971893,2112.467015504837,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,,3,-0.0025573736544410083,2106.5288321971893,2112.467015504837,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,-0.002306411328215556,2106.5288321971893,2112.467015504837,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,-0.0016154697879425034,2106.5288321971893,2112.467015504837,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,traffic_signals,3,-0.0026072411845169063,2106.5288321971893,2112.467015504837,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,traffic_signals,4,-0.0024698221614759914,2106.5288321971893,2112.467015504837,,POINT (-73.9640002 40.7596426)
42423579,40.7595738,-73.960551,,3,-0.0013825857624496247,2106.5288321971893,2112.467015504837,,POINT (-73.960551 40.7595738)
42423674,40.766876,-73.979076,traffic_signals,3,-0.0025958695491622606,2106.5288321971893,2112.467015504837,,POINT (-73.979076 40.766876)
42423752,40.7620775,-73.9619964,traffic_signals,4,-0.002471172826109534,2106.5288321971893,2112.467015504837,,POINT (-73.9619964 40.7620775)
42423774,40.738339,-73.9738156,,3,-0.0012189387660975167,2106.5288321971893,2112.467015504837,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,-0.0024037329102584827,2106.5288321971893,2112.467015504837,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,-0.002491062480292392,2106.5288321971893,2112.467015504837,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,-0.001253660151817716,2106.5288321971893,2112.467015504837,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,-0.001720715764595207,2106.5288321971893,2112.467015504837,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,traffic_signals,5,-0.001779321303863177,2106.5288321971893,2112.467015504837,,POINT (-73.9643559 40.7606212)
42424672,40.7593001,-73.9592658,traffic_signals,4,-0.0026595744680850326,2106.5288321971893,2112.467015504837,,POINT (-73.9592658 40.7593001)
42424789,40.7576654,-73.9948115,traffic_signals,4,-0.0018060764915167583,2106.5288321971893,2112.467015504837,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,-0.0022781134991979144,2106.5288321971893,2112.467015504837,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,-0.0015456356527980752,2106.5288321971893,2112.467015504837,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,-0.0011861203463189153,2106.5288321971893,2112.467015504837,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,-0.0023843721268096037,2106.5288321971893,2112.467015504837,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,-0.002469499062892095,2106.5288321971893,2112.467015504837,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,-0.0023284700596590074,2106.5288321971893,2112.467015504837,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,-0.002398692984444217,2106.5288321971893,2112.467015504837,,POINT (-73.997007 40.742228)
