osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
35574866,-22.9240681,-43.181524,4,-0.0022805017103763145,915.5748255252838,916.424711227417,,,POINT (-43.181524 -22.9240681)
35577095,-22.921972,-43.1770849,4,-0.000913734874549384,915.5748255252838,916.424711227417,,,POINT (-43.1770849 -22.921972)
35577097,-22.9235834,-43.1774062,3,-0.0022584927523980466,915.5748255252838,916.424711227417,,,POINT (-43.1774062 -22.9235834)
35577403,-22.9254268,-43.1731026,4,-0.002099144500239265,915.5748255252838,916.424711227417,,,POINT (-43.1731026 -22.9254268)
146181112,-22.918872,-43.1740796,3,-0.001378249012555445,915.5748255252838,916.424711227417,,,POINT (-43.1740796 -22.918872)
146181676,-22.9120813,-43.1721014,3,-0.0015538294082410135,915.5748255252838,916.424711227417,,,POINT (-43.1721014 -22.9120813)
146187485,-22.9189564,-43.1745579,3,-0.0011880520440809004,915.5748255252838,916.424711227417,,,POINT (-43.1745579 -22.9189564)
146187494,-22.9233682,-43.17124,3,-0.0022805017103763145,915.5748255252838,916.424711227417,,,POINT (-43.17124 -22.9233682)
146422286,-22.9068053,-43.1957247,3,-0.0017521680967149946,915.5748255252838,916.424711227417,,,POINT (-43.1957247 -22.9068053)
148434691,-22.9011273,-43.1791939,5,0.0017699750062066936,915.5748255252838,916.424711227417,,,POINT (-43.1791939 -22.9011273)
148442381,-22.9067893,-43.1966936,3,-0.0019338395493613302,915.5748255252838,916.424711227417,,,POINT (-43.1966936 -22.9067893)
148446284,-22.9070934,-43.1965696,3,-0.0021299895679804197,915.5748255252838,916.424711227417,,,POINT (-43.1965696 -22.9070934)
148448813,-22.907241,-43.1980771,3,-0.00026022533423253645,915.5748255252838,916.424711227417,,,POINT (-43.1980771 -22.907241)
148449036,-22.9040915,-43.1875968,3,-0.0017866700008609252,915.5748255252838,916.424711227417,,,POINT (-43.1875968 -22.9040915)
148450225,-22.9038796,-43.1863939,3,-0.0003879859423765511,915.5748255252838,916.424711227417,traffic_signals,,POINT (-43.1863939 -22.9038796)
148453426,-22.9063018,-43.195555,3,0.0029076296690277643,915.5748255252838,916.424711227417,,,POINT (-43.195555 -22.9063018)
148454300,-22.9028467,-43.1842005,3,-9.906173679192701e-05,915.5748255252838,916.424711227417,crossing,,POINT (-43.1842005 -22.9028467)
148456112,-22.9030033,-43.1852157,3,-0.0021120111909379872,915.5748255252838,916.424711227417,,,POINT (-43.1852157 -22.9030033)
