osmid,y,x,street_count,vul,time-vul,time-all,highway,geometry
34557142,-15.7984356,-47.8715061,3,-0.0018726628380574407,17602.136360406876,17606.397918701172,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,-0.0017613021121444005,17602.136360406876,17606.397918701172,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,-0.000560651465022267,17602.136360406876,17606.397918701172,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,-0.0014539960415542437,17602.136360406876,17606.397918701172,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,-0.0013666949051307478,17602.136360406876,17606.397918701172,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,-0.001602857327897243,17602.136360406876,17606.397918701172,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,-0.0017704469954226663,17602.136360406876,17606.397918701172,,POINT (-47.8708382 -15.7965472)
111449578,-15.7931298,-47.8896859,3,-0.001683131566602305,17602.136360406876,17606.397918701172,,POINT (-47.8896859 -15.7931298)
111450216,-15.7869798,-47.9076957,3,0.0003160785432572403,17602.136360406876,17606.397918701172,traffic_signals,POINT (-47.9076957 -15.7869798)
114103910,-15.7866876,-47.8807414,3,0.00033947927935361013,17602.136360406876,17606.397918701172,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,-0.0017275352547412096,17602.136360406876,17606.397918701172,,POINT (-47.8938029 -15.8006724)
141979701,-15.8164869,-47.9119763,3,-0.001446469764557786,17602.136360406876,17606.397918701172,,POINT (-47.9119763 -15.8164869)
141979726,-15.8146519,-47.9136207,3,-0.001543077652307053,17602.136360406876,17606.397918701172,,POINT (-47.9136207 -15.8146519)
141979746,-15.8144998,-47.9136303,3,-0.0015754361661272959,17602.136360406876,17606.397918701172,,POINT (-47.9136303 -15.8144998)
141979994,-15.8147215,-47.9137374,3,-0.0013199080604253547,17602.136360406876,17606.397918701172,,POINT (-47.9137374 -15.8147215)
141980252,-15.8166664,-47.9122436,4,-0.0018633804326280696,17602.136360406876,17606.397918701172,,POINT (-47.9122436 -15.8166664)
141980289,-15.8112594,-47.9091526,3,-0.001744697867587271,17602.136360406876,17606.397918701172,,POINT (-47.9091526 -15.8112594)
141980321,-15.8140215,-47.9140829,4,-0.001926782273603161,17602.136360406876,17606.397918701172,,POINT (-47.9140829 -15.8140215)
141980659,-15.8111215,-47.9089511,3,-0.001545217880564886,17602.136360406876,17606.397918701172,,POINT (-47.9089511 -15.8111215)
141980694,-15.8080929,-47.9048964,3,-0.0016645512624622104,17602.136360406876,17606.397918701172,,POINT (-47.9048964 -15.8080929)
141980806,-15.8103748,-47.9024619,3,-0.0009967052539007891,17602.136360406876,17606.397918701172,,POINT (-47.9024619 -15.8103748)
141980809,-15.8088752,-47.9007588,3,-0.0015606646592421372,17602.136360406876,17606.397918701172,,POINT (-47.9007588 -15.8088752)
142087740,-15.8159281,-47.889356,3,-0.0018982780082649612,17602.136360406876,17606.397918701172,,POINT (-47.889356 -15.8159281)
142087751,-15.8112984,-47.8850036,4,-0.0006900290365733234,17602.136360406876,17606.397918701172,,POINT (-47.8850036 -15.8112984)
142087820,-15.8087062,-47.8827332,3,-0.0016939413389152177,17602.136360406876,17606.397918701172,,POINT (-47.8827332 -15.8087062)
