osmid,y,x,street_count,vul,time-vul,time-all,highway,geometry
308013142,-15.7898199,-47.9044357,4,-0.0010746088377799141,1781.5304901599884,1784.7092304229736,,POINT (-47.9044357 -15.7898199)
308013146,-15.7905714,-47.9038299,3,-0.001795854769134413,1781.5304901599884,1784.7092304229736,,POINT (-47.9038299 -15.7905714)
364115770,-15.8089221,-47.8789839,3,-0.001926782273603116,1781.5304901599884,1784.7092304229736,,POINT (-47.8789839 -15.8089221)
365857449,-15.8062692,-47.8752283,3,-0.001926782273603116,1781.5304901599884,1784.7092304229736,,POINT (-47.8752283 -15.8062692)
370505435,-15.785289,-47.9062128,3,0.0032447160339732994,1781.5304901599884,1784.7092304229736,,POINT (-47.9062128 -15.785289)
370505437,-15.7819852,-47.9051898,3,-0.0018467717581962448,1781.5304901599884,1784.7092304229736,,POINT (-47.9051898 -15.7819852)
370505506,-15.7800614,-47.9041082,3,-0.001926782273603116,1781.5304901599884,1784.7092304229736,,POINT (-47.9041082 -15.7800614)
370505520,-15.7817256,-47.8949264,3,-0.0005527538930674321,1781.5304901599884,1784.7092304229736,,POINT (-47.8949264 -15.7817256)
370505522,-15.7865121,-47.8944088,3,-0.001686515378323368,1781.5304901599884,1784.7092304229736,,POINT (-47.8944088 -15.7865121)
370505762,-15.7796568,-47.9044173,3,-0.0006336167957635999,1781.5304901599884,1784.7092304229736,,POINT (-47.9044173 -15.7796568)
370527633,-15.7870432,-47.8781598,3,-0.001117212164908881,1781.5304901599884,1784.7092304229736,,POINT (-47.8781598 -15.7870432)
370527634,-15.7869177,-47.8786721,3,-0.0009019370236405925,1781.5304901599884,1784.7092304229736,,POINT (-47.8786721 -15.7869177)
370527638,-15.7868038,-47.8801064,3,0.0020040570573700064,1781.5304901599884,1784.7092304229736,,POINT (-47.8801064 -15.7868038)
370527682,-15.7864747,-47.8800514,3,-0.0006340291872478535,1781.5304901599884,1784.7092304229736,,POINT (-47.8800514 -15.7864747)
370527796,-15.786536,-47.8796739,3,-0.0016124969179029064,1781.5304901599884,1784.7092304229736,,POINT (-47.8796739 -15.786536)
