osmid,y,x,highway,street_count,vul,time-vul,time-all,ref,geometry
42421877,40.7328569,-73.9959291,traffic_signals,4,-0.002296685519444297,4292.257949352264,4298.042132854462,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,traffic_signals,4,-0.0022208880009738376,4292.257949352264,4298.042132854462,,POINT (-73.9991816 40.7341463)
42421969,40.7692956,-73.9810586,traffic_signals,3,-0.0026595744680850473,4292.257949352264,4298.042132854462,,POINT (-73.9810586 40.7692956)
42422258,40.748197,-74.00742,traffic_signals,3,-0.002643491183695507,4292.257949352264,4298.042132854462,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,,3,-0.002590506109789336,4292.257949352264,4298.042132854462,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,-0.002380424186743112,4292.257949352264,4298.042132854462,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,-0.0016593183363111104,4292.257949352264,4298.042132854462,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,traffic_signals,3,-0.002620637808960828,4292.257949352264,4298.042132854462,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,traffic_signals,4,-0.002342396593470475,4292.257949352264,4298.042132854462,,POINT (-73.9640002 40.7596426)
42423579,40.7595738,-73.960551,,3,-0.00010654718885312382,4292.257949352264,4298.042132854462,,POINT (-73.960551 40.7595738)
42423674,40.766876,-73.979076,traffic_signals,3,-0.002568234288644302,4292.257949352264,4298.042132854462,,POINT (-73.979076 40.766876)
42423752,40.7620775,-73.9619964,traffic_signals,4,-0.0023628026397893866,4292.257949352264,4298.042132854462,,POINT (-73.9619964 40.7620775)
42423774,40.738339,-73.9738156,,3,0.0015883842742133942,4292.257949352264,4298.042132854462,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,-0.0024512946888158344,4292.257949352264,4298.042132854462,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,-0.0025262465543081413,4292.257949352264,4298.042132854462,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,-0.0014605905042982367,4292.257949352264,4298.042132854462,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,-0.0019050137265426428,4292.257949352264,4298.042132854462,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,traffic_signals,5,-0.0020033308469617488,4292.257949352264,4298.042132854462,,POINT (-73.9643559 40.7606212)
42424672,40.7593001,-73.9592658,traffic_signals,4,-0.0011823161464254235,4292.257949352264,4298.042132854462,,POINT (-73.9592658 40.7593001)
42424789,40.7576654,-73.9948115,traffic_signals,4,-0.0019682700074718376,4292.257949352264,4298.042132854462,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,-0.0023573931460759362,4292.257949352264,4298.042132854462,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,-0.001643143660876419,4292.257949352264,4298.042132854462,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,0.0018060971535985917,4292.257949352264,4298.042132854462,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,-0.002445192009975062,4292.257949352264,4298.042132854462,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,-0.0025054513527848353,4292.257949352264,4298.042132854462,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,-0.002424090372248979,4292.257949352264,4298.042132854462,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,-0.002454418723928237,4292.257949352264,4298.042132854462,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,traffic_signals,4,-0.0024788233820787734,4292.257949352264,4298.042132854462,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,traffic_signals,4,-0.002476060848359902,4292.257949352264,4298.042132854462,,POINT (-74.0027323 40.7446399)
42427390,40.745816,-74.005535,traffic_signals,4,-0.0024747515121525967,4292.257949352264,4298.042132854462,,POINT (-74.005535 40.745816)
42427393,40.746795,-74.0078599,traffic_signals,3,-0.002616388511793108,4292.257949352264,4298.042132854462,,POINT (-74.0078599 40.746795)
42427423,40.7435682,-73.9923179,traffic_signals,4,-0.0024147178817487415,4292.257949352264,4298.042132854462,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,-0.0024800578670530057,4292.257949352264,4298.042132854462,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,traffic_signals,4,-0.0024850776860020018,4292.257949352264,4298.042132854462,,POINT (-73.998 40.7459612)
42427477,40.7471747,-74.0008813,traffic_signals,4,-0.0024088441245913605,4292.257949352264,4298.042132854462,,POINT (-74.0008813 40.7471747)
42427483,40.748355,-74.003684,traffic_signals,4,-0.0024870380772089576,4292.257949352264,4298.042132854462,,POINT (-74.003684 40.748355)
42427494,40.7502334,-74.0082779,traffic_signals,4,-0.0025575690480804797,4292.257949352264,4298.042132854462,,POINT (-74.0082779 40.7502334)
42427762,40.7636536,-73.9734832,traffic_signals,4,-0.0024042795943901626,4292.257949352264,4298.042132854462,,POINT (-73.9734832 40.7636536)
42427764,40.7639136,-73.9741072,traffic_signals,3,-0.0025793053034496465,4292.257949352264,4298.042132854462,,POINT (-73.9741072 40.7639136)
42427786,40.745301,-73.986846,traffic_signals,4,-0.0022827489402367945,4292.257949352264,4298.042132854462,,POINT (-73.986846 40.745301)
42427787,40.7460483,-73.9886101,traffic_signals,4,-0.0024636062624538197,4292.257949352264,4298.042132854462,,POINT (-73.9886101 40.7460483)
42427797,40.7466658,-73.9900676,traffic_signals,4,-0.002301481589092565,4292.257949352264,4298.042132854462,,POINT (-73.9900676 40.7466658)
42427805,40.7478717,-73.9929242,traffic_signals,4,-0.0023750787452497847,4292.257949352264,4298.042132854462,,POINT (-73.9929242 40.7478717)
42427812,40.7490537,-73.9957298,traffic_signals,4,-0.0022658529771255134,4292.257949352264,4298.042132854462,,POINT (-73.9957298 40.7490537)
42427821,40.7514485,-74.0014254,traffic_signals,4,-0.002012609692816906,4292.257949352264,4298.042132854462,,POINT (-74.0014254 40.7514485)
42427824,40.7526474,-74.0042757,traffic_signals,4,-0.002205055834617561,4292.257949352264,4298.042132854462,,POINT (-74.0042757 40.7526474)
42427828,40.7537821,-74.0070387,traffic_signals,4,-0.0021084552384389764,4292.257949352264,4298.042132854462,,POINT (-74.0070387 40.7537821)
42427965,40.7599137,-73.9588108,traffic_signals,4,-0.002355510255355263,4292.257949352264,4298.042132854462,,POINT (-73.9588108 40.7599137)
42427968,40.7605391,-73.9583585,traffic_signals,4,-0.00262680576121445,4292.257949352264,4298.042132854462,,POINT (-73.9583585 40.7605391)
42427970,40.7611816,-73.9579018,traffic_signals,5,-0.0023134157545441417,4292.257949352264,4298.042132854462,,POINT (-73.9579018 40.7611816)
42427972,40.7617963,-73.9574532,traffic_signals,3,-0.0026595744680850473,4292.257949352264,4298.042132854462,,POINT (-73.9574532 40.7617963)
42427975,40.7624248,-73.9569931,traffic_signals,3,-0.0026595744680850473,4292.257949352264,4298.042132854462,,POINT (-73.9569931 40.7624248)
42427979,40.7630517,-73.9565342,traffic_signals,3,-0.002639661830269317,4292.257949352264,4298.042132854462,,POINT (-73.9565342 40.7630517)
42427985,40.7636731,-73.9560793,traffic_signals,3,-0.002635213591441037,4292.257949352264,4298.042132854462,,POINT (-73.9560793 40.7636731)
42427991,40.7642988,-73.9556211,traffic_signals,4,-0.0026595744680850473,4292.257949352264,4298.042132854462,,POINT (-73.9556211 40.7642988)
42428170,40.7371276,-73.9903368,traffic_signals,3,-0.0024355425058483395,4292.257949352264,4298.042132854462,,POINT (-73.9903368 40.7371276)
42428174,40.7378047,-73.9901393,traffic_signals,4,-0.002464131503710365,4292.257949352264,4298.042132854462,,POINT (-73.9901393 40.7378047)
42428179,40.7384929,-73.9899534,traffic_signals,4,-0.0024404991240416026,4292.257949352264,4298.042132854462,,POINT (-73.9899534 40.7384929)
42428183,40.7391754,-73.9897504,traffic_signals,4,-0.002484726098709197,4292.257949352264,4298.042132854462,,POINT (-73.9897504 40.7391754)
