osmid,y,x,highway,street_count,vul,time-vul,time-all,ref,geometry
876560967,-23.2191028,-45.9103038,traffic_signals,4,-0.0016254369042594651,7696.461186408997,7699.997024297714,,POINT (-45.9103038 -23.2191028)
876561059,-23.2185167,-45.9106397,,3,-0.001446445689726426,7696.461186408997,7699.997024297714,,POINT (-45.9106397 -23.2185167)
884411098,-23.2058738,-45.9061609,traffic_signals,5,-0.0010171719554186811,7696.461186408997,7699.997024297714,,POINT (-45.9061609 -23.2058738)
934161191,-23.2238343,-45.8991355,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8991355 -23.2238343)
934161195,-23.2238331,-45.8982195,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8982195 -23.2238331)
934163157,-23.2236371,-45.9009728,,3,-0.0007353695423020123,7696.461186408997,7699.997024297714,,POINT (-45.9009728 -23.2236371)
943022725,-23.218965,-45.9107462,,3,-0.0012413028915945923,7696.461186408997,7699.997024297714,,POINT (-45.9107462 -23.218965)
943022745,-23.2185257,-45.9102396,,4,-0.0012460274660410409,7696.461186408997,7699.997024297714,,POINT (-45.9102396 -23.2185257)
970047010,-23.2293837,-45.8844765,traffic_signals,4,-0.0013213197710901959,7696.461186408997,7699.997024297714,,POINT (-45.8844765 -23.2293837)
970047065,-23.2320334,-45.8927507,,3,-0.0016581501013770027,7696.461186408997,7699.997024297714,,POINT (-45.8927507 -23.2320334)
970047128,-23.229012,-45.8911766,traffic_signals,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8911766 -23.229012)
970047153,-23.2251407,-45.8857229,,3,-0.0017290194732530342,7696.461186408997,7699.997024297714,,POINT (-45.8857229 -23.2251407)
970047171,-23.2252522,-45.8858854,,4,-0.0016800448727004734,7696.461186408997,7699.997024297714,,POINT (-45.8858854 -23.2252522)
970353834,-23.2235225,-45.9116225,traffic_signals,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.9116225 -23.2235225)
970387137,-23.2221904,-45.8891946,traffic_signals,4,-0.001370966715474493,7696.461186408997,7699.997024297714,,POINT (-45.8891946 -23.2221904)
1102127919,-23.2104235,-45.8893561,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8893561 -23.2104235)
1102127925,-23.2141884,-45.8862346,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8862346 -23.2141884)
1102127943,-23.2131002,-45.8864307,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8864307 -23.2131002)
1102127944,-23.2095077,-45.8883745,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8883745 -23.2095077)
1102127945,-23.2085438,-45.8873311,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8873311 -23.2085438)
1102127950,-23.216962,-45.8831093,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8831093 -23.216962)
1102127952,-23.2166521,-45.882432,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.882432 -23.2166521)
1102127957,-23.2089926,-45.8878137,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8878137 -23.2089926)
1102127960,-23.2135545,-45.8869167,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8869167 -23.2135545)
1102127967,-23.2161424,-45.8842107,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8842107 -23.2161424)
1102127972,-23.2121923,-45.8854322,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8854322 -23.2121923)
1102127996,-23.2167704,-45.8835109,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8835109 -23.2167704)
1102128010,-23.2158295,-45.8844874,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8844874 -23.2158295)
1102128028,-23.2116893,-45.8889712,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8889712 -23.2116893)
1102128034,-23.2151479,-45.885213,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.885213 -23.2151479)
1102128035,-23.2119066,-45.8887402,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8887402 -23.2119066)
1102128037,-23.2158435,-45.8819337,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8819337 -23.2158435)
1102128041,-23.2126502,-45.8859325,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8859325 -23.2126502)
1102845653,-23.2239868,-45.8891054,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8891054 -23.2239868)
1102845655,-23.2237652,-45.8937763,mini_roundabout,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8937763 -23.2237652)
1102845656,-23.2232626,-45.8935438,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8935438 -23.2232626)
1102845660,-23.2240436,-45.894329,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.894329 -23.2240436)
1102845666,-23.2258421,-45.8948422,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8948422 -23.2258421)
1102845670,-23.2246035,-45.8947037,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8947037 -23.2246035)
1102845672,-23.2286982,-45.892651,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.892651 -23.2286982)
1102845674,-23.2279232,-45.8882643,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8882643 -23.2279232)
1102845676,-23.2262392,-45.8899221,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8899221 -23.2262392)
1102845679,-23.2265581,-45.8937958,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8937958 -23.2265581)
1102845682,-23.2293002,-45.8857364,,3,-0.001753399683878265,7696.461186408997,7699.997024297714,,POINT (-45.8857364 -23.2293002)
1102845685,-23.2269986,-45.889069,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.889069 -23.2269986)
1102845687,-23.2275022,-45.8859422,,3,-0.0017917451977715333,7696.461186408997,7699.997024297714,,POINT (-45.8859422 -23.2275022)
1102845690,-23.2292086,-45.8881042,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8881042 -23.2292086)
1102845695,-23.2235753,-45.8947277,,3,-0.001784317277428549,7696.461186408997,7699.997024297714,,POINT (-45.8947277 -23.2235753)
1102845699,-23.2275324,-45.8884964,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8884964 -23.2275324)
1102845702,-23.2260397,-45.8868667,,3,-0.0017948051379855128,7696.461186408997,7699.997024297714,,POINT (-45.8868667 -23.2260397)
1102845703,-23.226297,-45.8882928,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8882928 -23.226297)
1102845706,-23.2254724,-45.8874395,,3,-0.0016867844763625674,7696.461186408997,7699.997024297714,,POINT (-45.8874395 -23.2254724)
1102845708,-23.2257366,-45.8897116,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8897116 -23.2257366)
1102845710,-23.2292572,-45.8869718,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8869718 -23.2292572)
1102845715,-23.227507,-45.8872595,,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8872595 -23.227507)
1102845718,-23.2234559,-45.8944088,,3,-0.0017311635601367351,7696.461186408997,7699.997024297714,,POINT (-45.8944088 -23.2234559)
1102845728,-23.2279139,-45.8938272,,3,-0.0015842678425868556,7696.461186408997,7699.997024297714,,POINT (-45.8938272 -23.2279139)
1102845732,-23.2252527,-45.8894604,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8894604 -23.2252527)
1102845793,-23.2264172,-45.890003,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.890003 -23.2264172)
1102845794,-23.2243643,-45.8919279,mini_roundabout,4,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8919279 -23.2243643)
1261491124,-23.204638,-45.9053731,,3,0.0008782747097217172,7696.461186408997,7699.997024297714,,POINT (-45.9053731 -23.204638)
1316079758,-23.2319572,-45.8803864,,3,-0.0016324067863752703,7696.461186408997,7699.997024297714,,POINT (-45.8803864 -23.2319572)
1316079763,-23.2307705,-45.8803205,,4,-0.0014510593924743048,7696.461186408997,7699.997024297714,,POINT (-45.8803205 -23.2307705)
1316079771,-23.2342517,-45.880553,,3,-0.0008899395253717601,7696.461186408997,7699.997024297714,,POINT (-45.880553 -23.2342517)
1316079773,-23.2348109,-45.8805925,,3,-0.0011001825911989465,7696.461186408997,7699.997024297714,,POINT (-45.8805925 -23.2348109)
1316079777,-23.2331492,-45.8804553,,3,-0.0011366384511410563,7696.461186408997,7699.997024297714,,POINT (-45.8804553 -23.2331492)
1316079781,-23.231371,-45.8803546,,3,-0.0016470036610041745,7696.461186408997,7699.997024297714,,POINT (-45.8803546 -23.231371)
1316079782,-23.2302135,-45.8802957,,3,-0.0017149873773715072,7696.461186408997,7699.997024297714,,POINT (-45.8802957 -23.2302135)
1316120956,-23.2345952,-45.8774417,,3,-0.001753549331240963,7696.461186408997,7699.997024297714,,POINT (-45.8774417 -23.2345952)
1316120989,-23.2381142,-45.8809356,,3,-0.0017969512188221951,7696.461186408997,7699.997024297714,,POINT (-45.8809356 -23.2381142)
1316120993,-23.2293133,-45.8802526,,3,-0.0017276339439596285,7696.461186408997,7699.997024297714,,POINT (-45.8802526 -23.2293133)
1316120995,-23.2328939,-45.8846843,,3,-0.0016931396882478706,7696.461186408997,7699.997024297714,,POINT (-45.8846843 -23.2328939)
1316120996,-23.2336853,-45.8803867,,3,-0.0017683743077481439,7696.461186408997,7699.997024297714,,POINT (-45.8803867 -23.2336853)
1316121001,-23.2340214,-45.8847667,,3,-0.001469579205892353,7696.461186408997,7699.997024297714,,POINT (-45.8847667 -23.2340214)
1316121007,-23.2274333,-45.880333,,3,-0.0017240156070997634,7696.461186408997,7699.997024297714,,POINT (-45.880333 -23.2274333)
1316121012,-23.2311225,-45.8845828,,3,-0.0008444679533716694,7696.461186408997,7699.997024297714,,POINT (-45.8845828 -23.2311225)
1316121013,-23.2319599,-45.8802738,,3,-0.0013921374990937692,7696.461186408997,7699.997024297714,,POINT (-45.8802738 -23.2319599)
1316121020,-23.223481,-45.8820112,,3,-0.0011763966558410068,7696.461186408997,7699.997024297714,,POINT (-45.8820112 -23.223481)
1316121021,-23.2307802,-45.8802064,,4,-0.0010629458588962827,7696.461186408997,7699.997024297714,,POINT (-45.8802064 -23.2307802)
1316121022,-23.2255348,-45.8808801,,3,-0.0017401336405130372,7696.461186408997,7699.997024297714,,POINT (-45.8808801 -23.2255348)
1316121035,-23.233086,-45.8803495,,3,-0.0017528615252835054,7696.461186408997,7699.997024297714,,POINT (-45.8803495 -23.233086)
1316121037,-23.234277,-45.8804311,,3,-0.0017705232325347254,7696.461186408997,7699.997024297714,,POINT (-45.8804311 -23.234277)
1316121050,-23.2211344,-45.8843166,traffic_signals,4,0.001883691530540872,7696.461186408997,7699.997024297714,,POINT (-45.8843166 -23.2211344)
1316121082,-23.2334656,-45.8845597,,3,-0.0012794150963633235,7696.461186408997,7699.997024297714,,POINT (-45.8845597 -23.2334656)
1316121088,-23.2348376,-45.880456,,3,-0.0017650285321232082,7696.461186408997,7699.997024297714,,POINT (-45.880456 -23.2348376)
1316121089,-23.2398781,-45.8812744,,3,-0.0018174986956092747,7696.461186408997,7699.997024297714,,POINT (-45.8812744 -23.2398781)
1316121091,-23.2335419,-45.8768364,,3,-0.0018384219807625673,7696.461186408997,7699.997024297714,,POINT (-45.8768364 -23.2335419)
1316121092,-23.232896,-45.8845239,,3,-0.001370303080437839,7696.461186408997,7699.997024297714,,POINT (-45.8845239 -23.232896)
1316121096,-23.2322655,-45.8846438,,3,-0.0017404936666527277,7696.461186408997,7699.997024297714,,POINT (-45.8846438 -23.2322655)
1316121109,-23.2296224,-45.8802447,traffic_signals,4,-0.0015811498671203785,7696.461186408997,7699.997024297714,,POINT (-45.8802447 -23.2296224)
1316333066,-23.2331397,-45.8907503,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8907503 -23.2331397)
1316333071,-23.235103,-45.8869003,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8869003 -23.235103)
1316333096,-23.2349821,-45.8889039,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8889039 -23.2349821)
1316333108,-23.23136,-45.8909166,,3,-0.0018621973929237115,7696.461186408997,7699.997024297714,,POINT (-45.8909166 -23.23136)
1316333110,-23.231592,-45.8866622,,4,-0.0017542035583126717,7696.461186408997,7699.997024297714,,POINT (-45.8866622 -23.231592)
1316333128,-23.234712,-45.8910395,,3,-0.001487949991076073,7696.461186408997,7699.997024297714,,POINT (-45.8910395 -23.234712)
1316333147,-23.2354682,-45.8921233,,3,-0.0017375750728096122,7696.461186408997,7699.997024297714,,POINT (-45.8921233 -23.2354682)
1316333149,-23.2348084,-45.8910516,,3,-0.0005745513415543887,7696.461186408997,7699.997024297714,,POINT (-45.8910516 -23.2348084)
