osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.005941677832286704,9738.25903582573,9743.644841432571,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.007168179962103678,9738.25903582573,9743.644841432571,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,0.00015294375997825817,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944550,-23.5372021,-46.6535506,4,-0.0013912163441805556,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014303621274711932,9738.25903582573,9743.644841432571,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014824881397576502,9738.25903582573,9743.644841432571,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.0014374240376669716,9738.25903582573,9743.644841432571,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0013488023282022814,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6531738 -23.5416139)
25870836,-23.5635176,-46.6113811,4,-0.0003546565104179166,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6113811 -23.5635176)
25871539,-23.5560493,-46.6222841,3,-0.0007991077590433421,9738.25903582573,9743.644841432571,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0008896941403275499,9738.25903582573,9743.644841432571,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,-0.0007419384601425007,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,8.3291647368871e-06,9738.25903582573,9743.644841432571,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.008749113326844901,9738.25903582573,9743.644841432571,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0018582213090842807,9738.25903582573,9743.644841432571,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0016775867447138722,9738.25903582573,9743.644841432571,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,-0.00019639278822737566,9738.25903582573,9743.644841432571,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.000989449389925498,9738.25903582573,9743.644841432571,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,-0.0003827572775171493,9738.25903582573,9743.644841432571,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,-0.001210508682925323,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,-0.0011373404382890096,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,-0.0013635216703660874,9738.25903582573,9743.644841432571,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,-0.0014472901959509269,9738.25903582573,9743.644841432571,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,-0.0004369837259353651,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,0.00014068634773291923,9738.25903582573,9743.644841432571,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,-0.00042874063412753823,9738.25903582573,9743.644841432571,,,POINT (-46.6252162 -23.5326836)
25928248,-23.530254,-46.6317405,3,-0.0013785828468145657,9738.25903582573,9743.644841432571,,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,3,-0.0013771241842123218,9738.25903582573,9743.644841432571,,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,3,-0.0013011022615957602,9738.25903582573,9743.644841432571,,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,3,-0.0005588363022474006,9738.25903582573,9743.644841432571,,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353735,-46.6331395,3,-0.0007733120483834034,9738.25903582573,9743.644841432571,,,POINT (-46.6331395 -23.5353735)
25928755,-23.5414795,-46.634182,4,0.014356964217377964,9738.25903582573,9743.644841432571,,,POINT (-46.634182 -23.5414795)
25928842,-23.5468886,-46.6377089,3,0.01611767850113623,9738.25903582573,9743.644841432571,,,POINT (-46.6377089 -23.5468886)
25928939,-23.5495812,-46.6385465,3,0.013153379362771203,9738.25903582573,9743.644841432571,,,POINT (-46.6385465 -23.5495812)
25928961,-23.5481572,-46.6387749,3,-0.00020741911678420413,9738.25903582573,9743.644841432571,,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,3,-0.0007429321165293502,9738.25903582573,9743.644841432571,,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,3,-0.0010345667822008549,9738.25903582573,9743.644841432571,,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,3,-0.00012579513370700006,9738.25903582573,9743.644841432571,,,POINT (-46.6385024 -23.5579874)
25929413,-23.5588307,-46.6388251,3,-0.00028286190288265273,9738.25903582573,9743.644841432571,,,POINT (-46.6388251 -23.5588307)
25929414,-23.5590528,-46.6385968,3,0.0016687073048980148,9738.25903582573,9743.644841432571,,,POINT (-46.6385968 -23.5590528)
25929616,-23.5659574,-46.6408524,3,-0.0015003750937734922,9738.25903582573,9743.644841432571,,,POINT (-46.6408524 -23.5659574)
60624525,-23.5480122,-46.6490136,4,0.0004910515844667723,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.6490136 -23.5480122)
60641012,-23.5522917,-46.6376347,3,-0.0009309556070816671,9738.25903582573,9743.644841432571,,,POINT (-46.6376347 -23.5522917)
60641027,-23.5520563,-46.6359282,3,-0.0009862183003148943,9738.25903582573,9743.644841432571,,,POINT (-46.6359282 -23.5520563)
60641028,-23.5518993,-46.635442,5,-0.0007759231561705199,9738.25903582573,9743.644841432571,traffic_signals,,POINT (-46.635442 -23.5518993)
