osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.0062994536565480035,11389.746990919113,11396.808169841766,,,POINT (-46.6382561 -23.55821)
597282,-23.5510876,-46.6261325,3,0.006907155784505382,11389.746990919113,11396.808169841766,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,7.139030250618324e-05,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6252641 -23.5533268)
20944550,-23.5372021,-46.6535506,4,-0.0012505466753768043,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014180320360779315,11389.746990919113,11396.808169841766,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014825784753107686,11389.746990919113,11396.808169841766,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.0014623256258372496,11389.746990919113,11396.808169841766,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0013975705362480753,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6531738 -23.5416139)
25870836,-23.5635176,-46.6113811,4,-0.00041823227244950625,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,-0.0007502829281775593,11389.746990919113,11396.808169841766,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,-0.0007976849302903497,11389.746990919113,11396.808169841766,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0007555296484998267,11389.746990919113,11396.808169841766,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,-0.0007991736128642028,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,-7.020456034394393e-05,11389.746990919113,11396.808169841766,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.00846781494157094,11389.746990919113,11396.808169841766,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0016951803872590065,11389.746990919113,11396.808169841766,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0015233077217035832,11389.746990919113,11396.808169841766,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,-0.0002586678784455168,11389.746990919113,11396.808169841766,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.0008175939793684923,11389.746990919113,11396.808169841766,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,-0.00043375345119703535,11389.746990919113,11396.808169841766,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,-0.0012341852496199866,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,-0.0011508533466221443,11389.746990919113,11396.808169841766,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,-0.0013739970566740824,11389.746990919113,11396.808169841766,,,POINT (-46.6254827 -23.5332714)
