osmid,y,x,street_count,vul,time-vul,time-all,highway,ref,geometry
587993,-23.55821,-46.6382561,3,0.005801383830204666,58628.366716623306,58634.89672756195,,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,4,-0.0014375217816189176,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,4,-0.0014395776745230722,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,3,0.006224520969911487,58628.366716623306,58634.89672756195,,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,4,-0.0005598642298385183,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,3,-0.001244370078498022,58628.366716623306,58634.89672756195,,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,3,0.00027331637971370656,58628.366716623306,58634.89672756195,motorway_junction,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,3,-0.0012000921890898838,58628.366716623306,58634.89672756195,,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,4,-0.0011540553223624347,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,4,-0.0014652652095118483,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,4,-0.0013687884146985835,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,3,-0.0014645965736361265,58628.366716623306,58634.89672756195,,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,4,-0.0014914941049051595,58628.366716623306,58634.89672756195,,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,3,-0.001471167597274432,58628.366716623306,58634.89672756195,,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,4,-0.0014518354492318345,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,4,-0.0014457791149711774,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6552234 -23.5477074)
25778134,-23.5218113,-46.6141929,3,-0.001413924962245661,58628.366716623306,58634.89672756195,,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,3,-0.0007411974969802053,58628.366716623306,58634.89672756195,,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,3,-0.0014078680974998045,58628.366716623306,58634.89672756195,,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,3,-0.001388793025588045,58628.366716623306,58634.89672756195,,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,3,-0.0014517377064061406,58628.366716623306,58634.89672756195,,,POINT (-46.6089591 -23.5241708)
25783030,-23.5219155,-46.6056686,3,0.00038585565198726745,58628.366716623306,58634.89672756195,,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,3,0.003179588911385248,58628.366716623306,58634.89672756195,motorway_junction,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,3,-0.0009603007576965877,58628.366716623306,58634.89672756195,,,POINT (-46.6115765 -23.5218114)
25783236,-23.518172,-46.6201099,3,-0.0015003750937735362,58628.366716623306,58634.89672756195,,,POINT (-46.6201099 -23.518172)
25870718,-23.5646175,-46.6111634,4,-0.0008815377736226853,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,4,7.891299531074675e-05,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,4,0.0041371301685395635,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,3,-0.0005122054342368621,58628.366716623306,58634.89672756195,,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,3,-0.001143060089550003,58628.366716623306,58634.89672756195,,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,3,0.0038562814616728593,58628.366716623306,58634.89672756195,,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,4,-0.00103858285430835,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,3,-0.0005976239092216021,58628.366716623306,58634.89672756195,,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,3,0.006263878163291602,58628.366716623306,58634.89672756195,,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,3,0.0010991196681396195,58628.366716623306,58634.89672756195,,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,3,0.0007498425158500164,58628.366716623306,58634.89672756195,,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,3,-0.0007979720955716447,58628.366716623306,58634.89672756195,,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448763,-46.6305184,3,0.00016444471019714168,58628.366716623306,58634.89672756195,,,POINT (-46.6305184 -23.5448763)
25872254,-23.5428224,-46.6291191,3,-0.0010092032244316755,58628.366716623306,58634.89672756195,,,POINT (-46.6291191 -23.5428224)
25872264,-23.5436253,-46.6297566,4,-0.001369676866542306,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,4,-0.0012688546735805544,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,3,-0.0014310538878181192,58628.366716623306,58634.89672756195,,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,3,-0.0014721070094276052,58628.366716623306,58634.89672756195,,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,4,-0.001048598115299219,58628.366716623306,58634.89672756195,traffic_signals,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,4,-0.0008421685357711511,58628.366716623306,58634.89672756195,crossing,,POINT (-46.6257805 -23.5316319)
25872766,-23.5326836,-46.6252162,3,-0.0007442159170190291,58628.366716623306,58634.89672756195,,,POINT (-46.6252162 -23.5326836)
25875892,-23.5287456,-46.6312713,3,-0.0014581838768901007,58628.366716623306,58634.89672756195,,,POINT (-46.6312713 -23.5287456)
25875912,-23.52485,-46.6297992,3,-0.001387156005966988,58628.366716623306,58634.89672756195,,,POINT (-46.6297992 -23.52485)
25875921,-23.5217505,-46.6343656,3,-0.0005631926267186028,58628.366716623306,58634.89672756195,motorway_junction,,POINT (-46.6343656 -23.5217505)
25875933,-23.5216281,-46.6364197,3,-0.0010140116510610913,58628.366716623306,58634.89672756195,,,POINT (-46.6364197 -23.5216281)
25875960,-23.5216195,-46.636985,3,-0.0011101620141125692,58628.366716623306,58634.89672756195,,,POINT (-46.636985 -23.5216195)
25876402,-23.5208216,-46.6303373,3,-0.0009911058710061187,58628.366716623306,58634.89672756195,,,POINT (-46.6303373 -23.5208216)
25876404,-23.5200054,-46.6301737,3,-0.0015003750937735362,58628.366716623306,58634.89672756195,,,POINT (-46.6301737 -23.5200054)
25908565,-23.523301,-46.6307945,3,-0.00045296631891678346,58628.366716623306,58634.89672756195,,,POINT (-46.6307945 -23.523301)
25908745,-23.5236755,-46.6309494,3,-0.0014796652406676616,58628.366716623306,58634.89672756195,,,POINT (-46.6309494 -23.5236755)
