osmid,y,x,street_count,vul,time-vul,time-all,highway,geometry
34557142,-15.7984356,-47.8715061,3,-0.0018688209427738154,14608.907963514328,14613.182814359665,,POINT (-47.8715061 -15.7984356)
34557143,-15.7972555,-47.8752619,3,-0.001749791427062,14608.907963514328,14613.182814359665,,POINT (-47.8752619 -15.7972555)
34557146,-15.7966181,-47.8772364,3,-0.0005033781347428396,14608.907963514328,14613.182814359665,,POINT (-47.8772364 -15.7966181)
34565320,-15.7946793,-47.876754,3,-0.0014184121196425647,14608.907963514328,14613.182814359665,,POINT (-47.876754 -15.7946793)
34565322,-15.7951716,-47.8751782,3,-0.001321724338910194,14608.907963514328,14613.182814359665,,POINT (-47.8751782 -15.7951716)
34565323,-15.7953242,-47.8747147,3,-0.0015752351141513322,14608.907963514328,14613.182814359665,,POINT (-47.8747147 -15.7953242)
34565324,-15.7965472,-47.8708382,3,-0.0017583888024848538,14608.907963514328,14613.182814359665,,POINT (-47.8708382 -15.7965472)
111449578,-15.7931298,-47.8896859,3,-0.001663966646474082,14608.907963514328,14613.182814359665,,POINT (-47.8896859 -15.7931298)
111450216,-15.7869798,-47.9076957,3,5.785895841515068e-05,14608.907963514328,14613.182814359665,traffic_signals,POINT (-47.9076957 -15.7869798)
114103910,-15.7866876,-47.8807414,3,0.00041217771093218943,14608.907963514328,14613.182814359665,,POINT (-47.8807414 -15.7866876)
123853102,-15.8006724,-47.8938029,3,-0.0017188994326841637,14608.907963514328,14613.182814359665,,POINT (-47.8938029 -15.8006724)
141979701,-15.8164869,-47.9119763,3,-0.0017690017908396575,14608.907963514328,14613.182814359665,,POINT (-47.9119763 -15.8164869)
141980252,-15.8166664,-47.9122436,4,-0.0018675538886621088,14608.907963514328,14613.182814359665,,POINT (-47.9122436 -15.8166664)
141980289,-15.8112594,-47.9091526,3,-0.00163705185951561,14608.907963514328,14613.182814359665,,POINT (-47.9091526 -15.8112594)
